prop_ids,urls,cities,lines,postal_codes,counties,lats,lons,prices,baths_fulls,bedrooms,building_sizes,lot_sizes
M8242106458,https://www.realtor.com/realestateandhomes-detail/9939-37th-Ave-N_Plymouth_MN_55441_M82421-06458,Plymouth,9939 37th Ave N,55441,Hennepin,45.023407,-93.406901,389900,3,4,2178,11761
M7310482382,https://www.realtor.com/realestateandhomes-detail/107-Wilkin-St_Saint-Paul_MN_55102_M73104-82382,Saint Paul,107 Wilkin St,55102,Ramsey,44.938139,-93.106476,1540000,2,3,1548,4269
M8166109126,https://www.realtor.com/realestateandhomes-detail/4905-Nicollet-Ave_Minneapolis_MN_55419_M81661-09126,Minneapolis,4905 Nicollet Ave,55419,Hennepin,44.913926,-93.277614,445000,2,3,1813,6098
M7733229160,https://www.realtor.com/realestateandhomes-detail/3501-W-28th-St_Minneapolis_MN_55416_M77332-29160,Minneapolis,3501 W 28th St,55416,Hennepin,44.952461,-93.323169,1100000,3,3,3124,6970
M7232747552,https://www.realtor.com/realestateandhomes-detail/6324-James-Ave-S_Richfield_MN_55423_M72327-47552,Richfield,6324 James Ave S,55423,Hennepin,44.887943,-93.301381,365000,2,5,2136,7841
M8603220257,https://www.realtor.com/realestateandhomes-detail/5916-Merold-Dr_Edina_MN_55436_M86032-20257,Edina,5916 Merold Dr,55436,Hennepin,44.899484,-93.375026,725000,4,4,3709,13504
M7219161930,https://www.realtor.com/realestateandhomes-detail/3500-Utah-Ave-S_St-Louis-Park_MN_55426_M72191-61930,Saint Louis Park,3500 Utah Ave S,55426,Hennepin,44.940237,-93.382325,395000,2,3,1625,7405
M7136788973,https://www.realtor.com/realestateandhomes-detail/3136-Hennepin-Ave_Minneapolis_MN_55408_M71367-88973,Minneapolis,3136 Hennepin Ave,55408,Hennepin,44.945285,-93.298688,625000,4,4,2127,5663
M7678784321,https://www.realtor.com/realestateandhomes-detail/6521-Wilryan-Ave_Edina_MN_55439_M76787-84321,Edina,6521 Wilryan Ave,55439,Hennepin,44.884289,-93.352259,500000,3,3,,10019
M8008044148,https://www.realtor.com/realestateandhomes-detail/418-Rice-St_Anoka_MN_55303_M80080-44148,Anoka,418 Rice St,55303,Anoka,45.19427,-93.397207,975000,3,,2593,71438
M7737214844,https://www.realtor.com/realestateandhomes-detail/1708-Blair-Ave_Saint-Paul_MN_55104_M77372-14844,Saint Paul,1708 Blair Ave,55104,Ramsey,44.960824,-93.172585,345000,2,4,2106,4487
M8895350090,https://www.realtor.com/realestateandhomes-detail/6830-Oakley-St-NE_Fridley_MN_55432_M88953-50090,Fridley,6830 Oakley St NE,55432,Anoka,45.090632,-93.245434,359000,,5,2223,22651
M7557768844,https://www.realtor.com/realestateandhomes-detail/28-19th-Ave-N_Hopkins_MN_55343_M75577-68844,Hopkins,28 19th Ave N,55343,Hennepin,44.9255,-93.424474,385000,2,4,2187,5227
M7735686940,https://www.realtor.com/realestateandhomes-detail/435-Fry-St_Saint-Paul_MN_55104_M77356-86940,Saint Paul,435 Fry St,55104,Ramsey,44.954417,-93.169935,715000,4,12,4060,4792
M7733876316,https://www.realtor.com/realestateandhomes-detail/350-Saint-Peter-St-Unit-701_Saint-Paul_MN_55102_M77338-76316,Saint Paul,350 Saint Peter St Unit 701,55102,Ramsey,44.94497,-93.095008,349500,2,2,1374,1307
M7094273088,https://www.realtor.com/realestateandhomes-detail/7821-Babcock-Trl_Inver-Grove-Heights_MN_55077_M70942-73088,Inver Grove Heights,7821 Babcock Trl,55077,Dakota,44.835813,-93.067804,650000,3,3,2836,120531
M7459614387,https://www.realtor.com/realestateandhomes-detail/1545-Fountain-Ln-N_Plymouth_MN_55447_M74596-14387,Plymouth,1545 Fountain Ln N,55447,Hennepin,44.996264,-93.49436,370000,2,3,1092,24394
M7420898221,https://www.realtor.com/realestateandhomes-detail/7026-Stevens-Ave_Richfield_MN_55423_M74208-98221,Richfield,7026 Stevens Ave,55423,Hennepin,44.875304,-93.276009,329900,2,4,1486,10019
M8529025692,https://www.realtor.com/realestateandhomes-detail/6271-Cardinal-Ave_Excelsior_MN_55331_M85290-25692,Excelsior,6271 Cardinal Ave,55331,Carver,44.889991,-93.564946,539000,3,4,2704,16553
M7939404470,https://www.realtor.com/realestateandhomes-detail/1444-Lincolntown-Ave_Saint-Paul_MN_55115_M79394-04470,Mahtomedi,1444 Lincolntown Ave,55115,Washington,45.036922,-92.964449,475000,3,4,2776,32191
M8064823259,https://www.realtor.com/realestateandhomes-detail/2068-3rd-St_White-Bear-Lake_MN_55110_M80648-23259,White Bear Lake,2068 3rd St,55110,Ramsey,45.084025,-93.013627,349900,2,4,2240,11238
M7625729511,https://www.realtor.com/realestateandhomes-detail/8419-Clinton-Ave-S_Bloomington_MN_55420_M76257-29511,Bloomington,8419 Clinton Ave S,55420,Hennepin,44.85065,-93.271677,330000,2,5,1930,11326
M8143384941,https://www.realtor.com/realestateandhomes-detail/7309-5th-Ave-S_Richfield_MN_55423_M81433-84941,Richfield,7309 5th Ave S,55423,Hennepin,44.870441,-93.268993,319900,2,3,1620,9148
M7765342956,https://www.realtor.com/realestateandhomes-detail/4909-38th-Ave-S_Minneapolis_MN_55417_M77653-42956,Minneapolis,4909 38th Ave S,55417,Hennepin,44.91405,-93.217344,524900,2,5,1952,6534
M8220536478,https://www.realtor.com/realestateandhomes-detail/104-Harold-Dr_Burnsville_MN_55337_M82205-36478,Burnsville,104 Harold Dr,55337,Dakota,44.764238,-93.279676,359900,2,3,1910,13068
M8934156348,https://www.realtor.com/realestateandhomes-detail/7327-10th-Ave-S_Richfield_MN_55423_M89341-56348,Richfield,7327 10th Ave S,55423,Hennepin,44.869909,-93.260125,350000,2,4,2006,9975
M7910635162,https://www.realtor.com/realestateandhomes-detail/5625-12th-Ave-S_Minneapolis_MN_55417_M79106-35162,Minneapolis,5625 12th Ave S,55417,Hennepin,44.900626,-93.257312,475000,3,4,2289,6098
M7687193126,https://www.realtor.com/realestateandhomes-detail/4636-Colfax-Ave-S_Minneapolis_MN_55419_M76871-93126,Minneapolis,4636 Colfax Ave S,55419,Hennepin,44.91844,-93.292513,899900,4,5,3664,5227
M8678756917,https://www.realtor.com/realestateandhomes-detail/1582-Fernwood-St_Saint-Paul_MN_55108_M86787-56917,Saint Paul,1582 Fernwood St,55108,Ramsey,44.988948,-93.151031,300000,2,3,1318,7841
M7854777886,https://www.realtor.com/realestateandhomes-detail/739-County-Road-B-E_Saint-Paul_MN_55117_M78547-77886,Maplewood,739 County Road B E,55117,Ramsey,45.007567,-93.069783,389900,2,4,3306,60418
M7935460761,https://www.realtor.com/realestateandhomes-detail/8825-James-Ave-S_Bloomington_MN_55431_M79354-60761,Bloomington,8825 James Ave S,55431,Hennepin,44.843256,-93.300845,335000,2,4,1698,11761
M8670023571,https://www.realtor.com/realestateandhomes-detail/4501-Morris-Ln_Bloomington_MN_55437_M86700-23571,Bloomington,4501 Morris Ln,55437,Hennepin,44.802786,-93.336334,340000,2,3,1656,12197
M7820536966,https://www.realtor.com/realestateandhomes-detail/4056-Alabama-Ave-S_Minneapolis_MN_55416_M78205-36966,Saint Louis Park,4056 Alabama Ave S,55416,Hennepin,44.927337,-93.357059,459900,3,3,2867,8712
M8821440873,https://www.realtor.com/realestateandhomes-detail/237-Reid-Ln_South-St-Paul_MN_55075_M88214-40873,South Saint Paul,237 Reid Ln,55075,Dakota,44.893786,-93.057537,315000,2,3,2176,11892
M8014348390,https://www.realtor.com/realestateandhomes-detail/1901-Sioux-Ct_Burnsville_MN_55337_M80143-48390,Burnsville,1901 Sioux Ct,55337,Dakota,44.803589,-93.247618,325000,2,4,1954,14026
M7308610862,https://www.realtor.com/realestateandhomes-detail/684-Eldridge-Ave-W_Roseville_MN_55113_M73086-10862,Roseville,684 Eldridge Ave W,55113,Ramsey,45.004318,-93.128819,325000,2,4,1750,14331
M7882924006,https://www.realtor.com/realestateandhomes-detail/1404-Maryland-Ave-S_St-Louis-Park_MN_55426_M78829-24006,Saint Louis Park,1404 Maryland Ave S,55426,Hennepin,44.96904,-93.3725,399900,2,4,2288,5663
M7324856367,https://www.realtor.com/realestateandhomes-detail/5556-36th-Ave-S_Minneapolis_MN_55417_M73248-56367,Minneapolis,5556 36th Ave S,55417,Hennepin,44.90189,-93.22074,349900,2,,1868,5227
M8435921549,https://www.realtor.com/realestateandhomes-detail/3571-Pierce-St-NE_Minneapolis_MN_55418_M84359-21549,Minneapolis,3571 Pierce St NE,55418,Hennepin,45.033276,-93.24057,365000,2,3,1810,6142
M8941174940,https://www.realtor.com/realestateandhomes-detail/1825-Lake-Ln_New-Brighton_MN_55112_M89411-74940,Arden Hills,1825 Lake Ln,55112,Ramsey,45.043867,-93.177647,389900,2,3,1517,11935
M7883565841,https://www.realtor.com/realestateandhomes-detail/4425-W-82nd-St-D_Bloomington_MN_55437_M78835-65841,Bloomington,4425 W 82nd St,55437,Hennepin,44.853924,-93.336596,335000,3,3,2205,11326
M7036398376,https://www.realtor.com/realestateandhomes-detail/5500-Upton-Ave-S_Minneapolis_MN_55410_M70363-98376,Minneapolis,5500 Upton Ave S,55410,Hennepin,44.903254,-93.315369,425000,2,3,2084,6098
M8777344930,https://www.realtor.com/realestateandhomes-detail/712-Delaware-Ave_Saint-Paul_MN_55107_M87773-44930,Saint Paul,712 Delaware Ave,55107,Ramsey,44.924451,-93.105513,325000,3,4,2635,6316
M7926404954,https://www.realtor.com/realestateandhomes-detail/6641-Sheridan-Ave-S_Richfield_MN_55423_M79264-04954,Richfield,6641 Sheridan Ave S,55423,Hennepin,44.882023,-93.31207,379000,2,3,2152,6534
M8108432116,https://www.realtor.com/realestateandhomes-detail/2404-31st-Ave-S_Minneapolis_MN_55406_M81084-32116,Minneapolis,2404 31st Ave S,55406,Hennepin,44.958874,-93.227345,575000,3,6,3360,6098
M7851859770,https://www.realtor.com/realestateandhomes-detail/2476-Aglen-St_Roseville_MN_55113_M78518-59770,Roseville,2476 Aglen St,55113,Ramsey,45.015854,-93.142181,429900,2,4,2407,11021
M7622306822,https://www.realtor.com/realestateandhomes-detail/2905-Nevada-Ave-S_St-Louis-Park_MN_55426_M76223-06822,Saint Louis Park,2905 Nevada Ave S,55426,Hennepin,44.950969,-93.372989,360000,2,4,1972,7841
M7803035791,https://www.realtor.com/realestateandhomes-detail/827-Fuller-St-S_Shakopee_MN_55379_M78030-35791,Shakopee,827 Fuller St S,55379,Scott,44.79037,-93.525841,350000,,4,3126,13765
M7657490764,https://www.realtor.com/realestateandhomes-detail/6709-Chicago-Ave_Richfield_MN_55423_M76574-90764,Richfield,6709 Chicago Ave,55423,Hennepin,44.881313,-93.262569,314900,2,3,1853,9583
M7033868144,https://www.realtor.com/realestateandhomes-detail/5524-13th-Ave-S_Minneapolis_MN_55417_M70338-68144,Minneapolis,5524 13th Ave S,55417,Hennepin,44.902461,-93.256725,499900,2,4,2072,6098
M7776793567,https://www.realtor.com/realestateandhomes-detail/5325-Lee-Cir_Excelsior_MN_55331_M77767-93567,Excelsior,5325 Lee Cir,55331,Hennepin,44.9074,-93.602319,545000,3,4,2154,37462
M8558232561,https://www.realtor.com/realestateandhomes-detail/1287-Fairmount-Ave_Saint-Paul_MN_55105_M85582-32561,Saint Paul,1287 Fairmount Ave,55105,Ramsey,44.937133,-93.154627,440000,2,3,1788,6098
M7656365265,https://www.realtor.com/realestateandhomes-detail/2917-Townview-Ave-NE_Minneapolis_MN_55418_M76563-65265,Minneapolis,2917 Townview Ave NE,55418,Hennepin,45.025315,-93.219183,335000,2,3,1766,8712
M8309051835,https://www.realtor.com/realestateandhomes-detail/3954-Xerxes-Ave-N_Minneapolis_MN_55412_M83090-51835,Minneapolis,3954 Xerxes Ave N,55412,Hennepin,45.027478,-93.31824,399899,2,3,2014,4792
M7112812451,https://www.realtor.com/realestateandhomes-detail/3431-Elliot-Ave_Minneapolis_MN_55407_M71128-12451,Minneapolis,3431 Elliot Ave,55407,Hennepin,44.940416,-93.260951,350000,2,6,2031,4792
M7266807921,https://www.realtor.com/realestateandhomes-detail/4651-Garfield-Ave_Minneapolis_MN_55419_M72668-07921,Minneapolis,4651 Garfield Ave,55419,Hennepin,44.918009,-93.286659,425000,2,3,1465,5227
M7095884234,https://www.realtor.com/realestateandhomes-detail/312-W-59th-St_Minneapolis_MN_55419_M70958-84234,Minneapolis,312 W 59th St,55419,Hennepin,44.896533,-93.28395,329900,3,3,2336,6098
M7582432264,https://www.realtor.com/realestateandhomes-detail/5337-29th-Ave-S_Minneapolis_MN_55417_M75824-32264,Minneapolis,5337 29th Ave S,55417,Hennepin,44.906042,-93.230668,375000,2,3,1638,5227
M7980501987,https://www.realtor.com/realestateandhomes-detail/1934-Shryer-Ave-W_Roseville_MN_55113_M79805-01987,Roseville,1934 Shryer Ave W,55113,Ramsey,45.001384,-93.181797,300000,2,3,1660,10062
M7120918053,https://www.realtor.com/realestateandhomes-detail/6141-Sheridan-Ave-S_Minneapolis_MN_55410_M71209-18053,Minneapolis,6141 Sheridan Ave S,55410,Hennepin,44.891151,-93.312113,300000,2,3,1467,5663
M8799819443,https://www.realtor.com/realestateandhomes-detail/1751-Ide-St_Maplewood_MN_55109_M87998-19443,Maplewood,1751 Ide St,55109,Ramsey,44.994201,-93.042235,329900,3,3,2350,10062
M8723976432,https://www.realtor.com/realestateandhomes-detail/510-Quantico-Ln-N_Plymouth_MN_55447_M87239-76432,Plymouth,510 Quantico Ln N,55447,Hennepin,44.984744,-93.474332,449000,2,5,2314,14810
M8932631074,https://www.realtor.com/realestateandhomes-detail/3401-32nd-Ave-S_Minneapolis_MN_55406_M89326-31074,Minneapolis,3401 32nd Ave S,55406,Hennepin,44.941204,-93.225298,339900,2,2,1232,6098
M7368570540,https://www.realtor.com/realestateandhomes-detail/2139-Silver-Bell-Rd_Eagan_MN_55122_M73685-70540,Eagan,2139 Silver Bell Rd,55122,Dakota,44.820054,-93.21724,325000,2,3,1106,22085
M7885778259,https://www.realtor.com/realestateandhomes-detail/2724-Brookridge-Ave_Crystal_MN_55422_M78857-78259,Crystal,2724 Brookridge Ave,55422,Hennepin,45.00781,-93.352333,525000,2,4,2708,22651
M7604008542,https://www.realtor.com/realestateandhomes-detail/4110-Basswood-Rd_St-Louis-Park_MN_55416_M76040-08542,Saint Louis Park,4110 Basswood Rd,55416,Hennepin,44.958672,-93.332473,979900,4,4,3904,17860
M7681029724,https://www.realtor.com/realestateandhomes-detail/6809-45th-Ave-N_Crystal_MN_55428_M76810-29724,Crystal,6809 45th Ave N,55428,Hennepin,45.036148,-93.366792,300000,2,3,1660,8712
M8236714788,https://www.realtor.com/realestateandhomes-detail/2912-32nd-Ave-S_Minneapolis_MN_55406_M82367-14788,Minneapolis,2912 32nd Ave S,55406,Hennepin,44.949601,-93.226069,400000,4,6,2880,6970
M7431637110,https://www.realtor.com/realestateandhomes-detail/3401-46th-Ave-S_Minneapolis_MN_55406_M74316-37110,Minneapolis,3401 46th Ave S,55406,Hennepin,44.941343,-93.207307,434900,3,4,1990,5227
M7099598266,https://www.realtor.com/realestateandhomes-detail/1520-21st-Ave-NW_New-Brighton_MN_55112_M70995-98266,New Brighton,1520 21st Ave NW,55112,Ramsey,45.074197,-93.215321,350000,2,,2808,10411
M8342102874,https://www.realtor.com/realestateandhomes-detail/2936-39th-Ave-S_Minneapolis_MN_55406_M83421-02874,Minneapolis,2936 39th Ave S,55406,Hennepin,44.948956,-93.216921,350000,2,4,1770,5227
M7060092668,https://www.realtor.com/realestateandhomes-detail/2527-Kipling-Ave_Minneapolis_MN_55416_M70600-92668,Saint Louis Park,2527 Kipling Ave,55416,Hennepin,44.956368,-93.334874,595000,3,3,4405,10454
M7267503562,https://www.realtor.com/realestateandhomes-detail/838-24th-Ave-N_South-St-Paul_MN_55075_M72675-03562,South Saint Paul,838 24th Ave N,55075,Dakota,44.904462,-93.063697,339900,2,4,2378,7492
M8424089324,https://www.realtor.com/realestateandhomes-detail/406-Wacouta-St-Unit-704_Saint-Paul_MN_55101_M84240-89324,Saint Paul,406 Wacouta St Unit 704,55101,Ramsey,44.950634,-93.087591,425000,2,2,1263,1307
M7359054427,https://www.realtor.com/realestateandhomes-detail/2370-Valentine-Ave_Saint-Paul_MN_55108_M73590-54427,Saint Paul,2370 Valentine Ave,55108,Ramsey,44.983095,-93.200225,395000,2,3,1580,7492
M8802404794,https://www.realtor.com/realestateandhomes-detail/2325-Taft-St-NE_Minneapolis_MN_55418_M88024-04794,Minneapolis,2325 Taft St NE,55418,Hennepin,45.012467,-93.223858,485000,3,3,2796,7405
M7427329485,https://www.realtor.com/realestateandhomes-detail/200-17th-Ave-N_Hopkins_MN_55343_M74273-29485,Hopkins,200 17th Ave N,55343,Hennepin,44.9282,-93.421622,319000,2,3,1577,5227
M7801702441,https://www.realtor.com/realestateandhomes-detail/2199-Long-Lake-Rd_New-Brighton_MN_55112_M78017-02441,Saint Paul,2199 Long Lake Rd,55112,Ramsey,45.085992,-93.210443,395000,2,3,2014,10280
M7452135305,https://www.realtor.com/realestateandhomes-detail/2078-Quartz-Ln_Eagan_MN_55122_M74521-35305,Eagan,2078 Quartz Ln,55122,Dakota,44.79974,-93.213929,350000,2,3,1650,9932
M7154594573,https://www.realtor.com/realestateandhomes-detail/6016-Penn-Ave-S_Minneapolis_MN_55419_M71545-94573,Minneapolis,6016/6018 Penn Ave S,55419,Hennepin,44.893659,-93.309036,317500,2,4,2056,5532
M8373881276,https://www.realtor.com/realestateandhomes-detail/4318-Zane-Ave-N_Crystal_MN_55422_M83738-81276,Crystal,4318 Zane Ave N,55422,Hennepin,45.034173,-93.354456,335900,2,4,2184,10019
M7709999180,https://www.realtor.com/realestateandhomes-detail/192-Robie-St-W_Saint-Paul_MN_55107_M77099-99180,Saint Paul,192 Robie St W,55107,Ramsey,44.930258,-93.093577,339900,2,5,2813,6534
M7636067402,https://www.realtor.com/realestateandhomes-detail/4808-Normandale-Highlands-Dr_Bloomington_MN_55437_M76360-67402,Bloomington,4808 Normandale Highlands Dr,55437,Hennepin,44.820497,-93.342973,349900,2,3,1897,12197
M8315212088,https://www.realtor.com/realestateandhomes-detail/4-Circle-W_Edina_MN_55436_M83152-12088,Edina,4 Circle W,55436,Hennepin,44.916519,-93.364067,1900000,6,6,8251,31363
M7541768640,https://www.realtor.com/realestateandhomes-detail/7263-Sunnyslope-Dr_Maple-Grove_MN_55311_M75417-68640,Maple Grove,7263 Sunnyslope Dr,55311,Hennepin,45.086845,-93.452066,339900,2,3,1877,13939
M8625364451,https://www.realtor.com/realestateandhomes-detail/10409-Nesbitt-Ave-S_Bloomington_MN_55437_M86253-64451,Bloomington,10409 Nesbitt Ave S,55437,Hennepin,44.814167,-93.357932,425000,2,4,2328,16553
M7493945246,https://www.realtor.com/realestateandhomes-detail/9206-Russell-Ave-S_Bloomington_MN_55431_M74939-45246,Bloomington,9206 Russell Ave S,55431,Hennepin,44.836789,-93.31181,489900,3,4,2587,13939
M8582105173,https://www.realtor.com/realestateandhomes-detail/521-Oak-St_Farmington_MN_55024_M85821-05173,Farmington,521 Oak St,55024,Dakota,44.639488,-93.140461,415000,3,5,3344,15246
M7479451241,https://www.realtor.com/realestateandhomes-detail/315-Natchez-Ave-S_Golden-Valley_MN_55416_M74794-51241,Golden Valley,315 Natchez Ave S,55416,Hennepin,44.975183,-93.338486,775000,3,2,2400,28750
M7037397556,https://www.realtor.com/realestateandhomes-detail/3626-22nd-Ave-S_Minneapolis_MN_55407_M70373-97556,Minneapolis,3626 22nd Ave S,55407,Hennepin,44.936687,-93.241002,415000,3,3,2882,5227
M8569896281,https://www.realtor.com/realestateandhomes-detail/2689-8th-Ave-E_Maplewood_MN_55109_M85698-96281,North Saint Paul,2689 8th Ave E,55109,Ramsey,45.013291,-92.986884,312000,2,3,1702,8364
M7736245929,https://www.realtor.com/realestateandhomes-detail/1594-Thomas-Ave_Saint-Paul_MN_55104_M77362-45929,Saint Paul,1594 Thomas Ave,55104,Ramsey,44.959009,-93.167849,429900,2,4,2688,4792
M8404361119,https://www.realtor.com/realestateandhomes-detail/1719-Marshall-St-NE_Minneapolis_MN_55413_M84043-61119,Minneapolis,1719 Marshall St NE,55413,Hennepin,45.005561,-93.271145,449000,2,7,2112,8276
M7873412967,https://www.realtor.com/realestateandhomes-detail/8743-Penn-Ave-S_Bloomington_MN_55431_M78734-12967,Bloomington,8743 Penn Ave S,55431,Hennepin,44.844532,-93.307953,400000,,6,2594,39204
M7159145543,https://www.realtor.com/realestateandhomes-detail/2821-1st-Ave-S_Minneapolis_MN_55408_M71591-45543,Minneapolis,2821 1st Ave S,55408,Hennepin,44.951161,-93.276254,379000,2,5,2250,3920
M7554555933,https://www.realtor.com/realestateandhomes-detail/5525-Zenith-Ave-S_Minneapolis_MN_55410_M75545-55933,Edina,5525 Zenith Ave S,55410,Hennepin,44.902455,-93.320993,875000,3,3,2400,8276
M8648754867,https://www.realtor.com/realestateandhomes-detail/7914-Lea-Rd_Bloomington_MN_55438_M86487-54867,Bloomington,7914 Lea Rd,55438,Hennepin,44.85921,-93.378421,549900,3,4,2182,18731
M8495826109,https://www.realtor.com/realestateandhomes-detail/3240-5th-Ave-S_Minneapolis_MN_55408_M84958-26109,Minneapolis,3240 5th Ave S,55408,Hennepin,44.943568,-93.269335,699900,3,,2400,5663
M7820115149,https://www.realtor.com/realestateandhomes-detail/8825-Penn-Lake-Cir_Bloomington_MN_55431_M78201-15149,Bloomington,8825 Penn Lake Cir,55431,Hennepin,44.843431,-93.306631,429000,,3,2200,10890
M8145996706,https://www.realtor.com/realestateandhomes-detail/1358-Kohlman-Ave_Maplewood_MN_55109_M81459-96706,Maplewood,1358 Kohlman Ave,55109,Ramsey,45.022212,-93.043225,400000,2,4,2578,23261
M8152976290,https://www.realtor.com/realestateandhomes-detail/916-Chippewa-Ave_Mendota-Heights_MN_55118_M81529-76290,Mendota Heights,916 Chippewa Ave,55118,Dakota,44.9191,-93.106598,449000,3,4,2173,12197